"R0000100","R0214800","T8089600","T8089800","T8218700","T8219400"
1,2,-5,-5,-5,-5
2,2,154,11,43000,59
3,2,180,10,130000,57
4,2,150,7,118300,56
5,1,-5,-5,-5,-5
6,1,175,4,132450,58
7,1,-5,-5,-5,-5
8,2,195,3,51313,60
9,1,-5,-5,-5,-5
10,2,-5,-5,-5,-5
11,1,-5,-5,-5,-5
12,2,-5,-5,-5,-5
13,1,-5,-5,-5,-5
14,2,-5,-5,-5,-5
15,1,225,2,702057,54
16,2,180,4,90000,60
17,1,178,9,69000,61
18,1,195,8,150000,60
19,2,-5,-5,-5,-5
20,2,-5,-5,-5,-5
21,2,167,2,244200,57
22,2,-5,-5,-5,-5
23,1,-5,-5,-5,-5
24,1,-5,-5,-5,-5
25,2,130,6,198000,58
26,1,-5,-5,-5,-5
27,2,195,2,702057,58
28,2,-5,-5,-5,-5
29,2,175,8,-3,57
30,2,190,4,24000,59
31,1,215,10,40000,55
32,2,-5,-5,-5,-5
33,1,220,7,10160,56
34,1,225,10,25400,59
35,2,-5,-5,-5,-5
36,1,168,10,87000,56
37,2,180,6,139762,59
38,2,162,3,160000,56
39,1,195,0,69000,59
40,1,170,6,181000,58
41,1,231,2,187000,56
42,1,-5,-5,-5,-5
43,2,236,5,0,57
44,2,120,4,317080,58
45,1,-5,-5,-5,-5
46,2,-5,-5,-5,-5
47,1,208,1,218000,59
48,1,-5,-5,-5,-5
49,2,235,8,137888,60
50,2,240,5,141150,60
51,1,-5,-5,-5,-5
52,1,-5,-5,-5,-5
53,1,240,8,9948,55
54,1,270,0,52000,60
55,1,-5,-5,-5,-5
56,2,-5,-5,-5,-5
57,2,155,6,36920,60
58,2,125,2,195300,61
59,1,240,9,-3,58
60,1,-5,-5,-5,-5
61,2,180,6,160000,56
62,2,268,10,65000,54
63,1,190,11,333000,58
64,1,-5,-5,-5,-5
65,2,-5,-5,-5,-5
66,1,185,8,-3,55
67,1,210,2,255400,61
